                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.86052,                0.90161,                  2.335,                0.72237,                0.76692,                0.77747,                0.57047,                0.88042,                0.92151,                 2.7723,             0.00080653,             0.00080653,             0.00080653
                     46,                0.85514,                0.88262,                 2.3572,                 0.7778,                0.73373,                0.79336,                0.58684,                 0.8649,                0.89318,                 2.7719,             0.00079238,             0.00079238,             0.00079238
                     47,                0.84793,                0.87374,                 2.3295,                0.73783,                0.75534,                 0.7728,                0.55988,                0.89925,                0.94099,                 2.8165,             0.00077823,             0.00077823,             0.00077823
                     48,                0.84942,                0.86741,                 2.3416,                0.74595,                0.75936,                 0.7778,                0.57351,                0.89121,                0.92125,                 2.8216,             0.00076409,             0.00076409,             0.00076409
                     49,                0.84081,                0.88628,                 2.3397,                0.73446,                0.76053,                0.79232,                0.59685,                0.86242,                0.89858,                 2.7811,             0.00074994,             0.00074994,             0.00074994
                     50,                0.83064,                0.85877,                  2.327,                0.75983,                0.71658,                0.75639,                0.54542,                0.90197,                0.97414,                 2.7936,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.8344,                0.86773,                 2.3353,                0.75646,                0.75287,                0.78522,                0.57888,                0.87292,                0.90102,                 2.7872,             0.00072164,             0.00072164,             0.00072164
                     52,                 0.8186,                0.84632,                 2.3178,                  0.763,                0.75924,                0.80704,                0.60428,                0.85554,                0.84882,                 2.7624,              0.0007075,              0.0007075,              0.0007075
                     53,                0.82551,                0.84788,                 2.3171,                 0.7571,                 0.7631,                0.78322,                0.58267,                 0.8565,                 0.9004,                 2.7972,             0.00069335,             0.00069335,             0.00069335
                     54,                0.82121,                0.81886,                 2.3008,                0.75948,                0.76757,                 0.7944,                0.58734,                 0.8746,                0.87884,                 2.7886,              0.0006792,              0.0006792,              0.0006792
                     55,                0.81684,                0.82947,                 2.3127,                0.74558,                 0.7642,                0.79007,                  0.595,                0.89744,                0.89947,                 2.8208,             0.00066506,             0.00066506,             0.00066506
                     56,                 0.8214,                0.83561,                  2.321,                0.76918,                0.75445,                0.78687,                0.58435,                   0.87,                0.86451,                 2.7486,             0.00065091,             0.00065091,             0.00065091
                     57,                0.80293,                0.81886,                 2.3107,                0.75208,                0.79657,                0.81275,                0.61144,                 0.8421,                0.82143,                 2.7403,             0.00063676,             0.00063676,             0.00063676
                     58,                0.81933,                0.83146,                 2.3364,                0.74444,                0.76248,                0.79444,                0.59799,                 0.8759,                0.87741,                 2.7668,             0.00062262,             0.00062262,             0.00062262
                     59,                0.81004,                0.83051,                 2.3198,                0.71877,                0.78464,                0.79802,                0.59881,                0.86144,                0.88224,                  2.761,             0.00060847,             0.00060847,             0.00060847
                     60,                0.80009,                0.79563,                 2.2756,                0.73795,                 0.7325,                0.76636,                 0.5615,                0.87395,                0.94897,                 2.7907,             0.00059432,             0.00059432,             0.00059432
                     61,                0.79874,                 0.8054,                 2.2852,                0.75001,                0.75982,                0.78284,                0.58756,                0.87368,                0.88968,                 2.7538,             0.00058017,             0.00058017,             0.00058017
                     62,                0.81007,                0.79537,                 2.2793,                0.73236,                0.77749,                0.78444,                0.58987,                0.85212,                 0.8773,                 2.7236,             0.00056603,             0.00056603,             0.00056603
                     63,                0.79003,                0.79826,                 2.2888,                0.78224,                0.75178,                0.79147,                0.59464,                0.84731,                 0.8633,                 2.7401,             0.00055188,             0.00055188,             0.00055188
                     64,                0.79242,                0.78394,                 2.2788,                0.75858,                0.78074,                0.80148,                0.60413,                0.86432,                0.85076,                 2.7452,             0.00053773,             0.00053773,             0.00053773
                     65,                0.79391,                0.79408,                 2.2812,                0.76084,                0.75569,                0.78516,                0.59148,                0.85227,                0.86086,                  2.761,             0.00052359,             0.00052359,             0.00052359
                     66,                0.78719,                0.79541,                 2.3037,                0.74056,                0.76458,                0.76676,                0.57242,                0.84696,                0.90443,                 2.7622,             0.00050944,             0.00050944,             0.00050944
                     67,                0.78932,                0.78662,                 2.3007,                0.71895,                0.78029,                0.79291,                0.60431,                0.86856,                0.87601,                 2.7738,             0.00049529,             0.00049529,             0.00049529
                     68,                0.78185,                0.78804,                 2.2847,                0.77003,                0.77388,                  0.801,                0.61237,                 0.8449,                0.84505,                 2.7517,             0.00048114,             0.00048114,             0.00048114
                     69,                0.77455,                0.75491,                 2.2967,                0.80166,                0.73669,                0.79939,                0.60618,                 0.8596,                0.87066,                  2.787,               0.000467,               0.000467,               0.000467
                     70,                0.78317,                0.76863,                 2.2923,                0.77545,                0.74133,                0.78324,                0.59096,                0.85606,                0.84386,                 2.7746,             0.00045285,             0.00045285,             0.00045285
                     71,                0.77639,                0.76367,                 2.2752,                0.75151,                 0.7865,                0.78676,                0.60154,                0.82516,                0.86667,                 2.7371,              0.0004387,              0.0004387,              0.0004387
